alpha,V0,kz,tier,xi_sponge,n_pts,amp0_log,gamma_r2,r2,t0,t1,gamma_plateau,plateau_t0,plateau_t1,has_plateau,gamma_sim,src,gamma_chased,ratio,rel_err
1.5,0.03,1.0,int,8.0,101,-12.778437524881502,0.052147565838364864,0.9999950841884608,74.91962282235222,87.90569077822661,0.05241924688840001,71.92283790945814,90.9024756911207,True,0.05241924688840001,t133/ym_k1_a1.500_circ_az2seed_v0.0300_sp8.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0569199478184944,0.9209292857321976,0.0790707142678024
1.6,0.03,1.0,int,8.0,101,-12.810706683561955,0.05291043517353816,0.9999950022401312,73.92069451805419,86.90676247392858,0.05316021441141888,71.92283790945814,89.90354738682267,True,0.05316021441141888,abi/ym_k1_a1.600_circ_az2seed_v0.0300_sp8.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0577596441487393,0.920369493179767,0.079630506820233
1.7,0.03,1.0,int,8.0,101,-12.841019114123133,0.053611035565494194,0.9999951748257808,72.92176621375616,85.90783416963055,0.0538630177752855,70.9239096051601,88.90461908252463,True,0.0538630177752855,abi/ym_k1_a1.700_circ_az2seed_v0.0300_sp8.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.058536101060419,0.9201675000473623,0.0798324999526378
1.8,0.03,1.0,int,8.0,101,-12.869598146856898,0.05424972006218716,0.9999953346797203,71.92283790945814,84.90890586533251,0.054475890716972085,70.9239096051601,87.90569077822661,True,0.054475890716972085,t126/ym_k1_a1.800_circ_az2seed_v0.0300_sp8.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0592545251192978,0.9193541017718927,0.0806458982281073
1.9,0.03,1.0,int,8.0,101,-12.896631871546045,0.0548547727360541,0.9999952382577233,70.9239096051601,83.9099775610345,0.05505198388821889,70.9239096051601,86.90676247392858,True,0.05505198388821889,t133/ym_k1_a1.900_circ_az2seed_v0.0300_sp8.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.059919312569355,0.9187686161201815,0.0812313838798185
2.1,0.03,1.0,int,8.0,101,-12.946673460556342,0.05591097478278976,0.9999951699999474,69.92498130086207,82.91104925673646,0.056043581373461236,69.92498130086207,84.90890586533251,True,0.056043581373461236,abi/ym_k1_a2.100_circ_az2seed_v0.0300_sp8.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0611024032891399,0.9172074805021982,0.08279251949780178
2.2,0.03,1.0,int,8.0,101,-12.969933622965634,0.056387625555422,0.9999948632332036,68.92605299656404,81.91212095243843,0.05658731194367825,70.9239096051601,84.90890586533251,True,0.05658731194367825,t132/ym_k1_a2.200_circ_az2seed_v0.0300_sp8.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.061626667902242,0.9182276743153199,0.08177232568468006
2.3,0.03,1.0,int,8.0,101,-12.99215952339847,0.05681070514677397,0.9999950713469831,68.92605299656404,81.91212095243843,0.05696335574759258,70.9239096051601,83.9099775610345,True,0.05696335574759258,abi/ym_k1_a2.300_circ_az2seed_v0.0300_sp8.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0621093820013894,0.9171457501592641,0.08285424984073589
2.4,0.03,1.0,int,8.0,101,-13.01343931525633,0.057209748763770295,0.999994585792203,67.92712469226602,80.9131926481404,0.05748276238161447,71.92283790945814,83.9099775610345,True,0.05748276238161447,t132/ym_k1_a2.400_circ_az2seed_v0.0300_sp8.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0625526126243514,0.9189506236424846,0.08104937635751545
2.5,0.03,1.0,int,8.0,101,-13.033850204176526,0.057562912103942265,0.9999951238388249,67.92712469226602,80.9131926481404,0.05770331540640642,69.92498130086207,82.91104925673646,True,0.05770331540640642,t133/ym_k1_a2.500_circ_az2seed_v0.0300_sp8.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0629581551973931,0.9165344064718677,0.0834655935281323
2.6,0.03,1.0,int,8.0,101,-13.053460589245601,0.057896836294119236,0.9999944670185124,67.92712469226602,80.9131926481404,0.05809264531613572,69.92498130086207,82.91104925673646,True,0.05809264531613572,abi/ym_k1_a2.600_circ_az2seed_v0.0300_sp8.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0633275700232963,0.9173357716830947,0.08266422831690534
2.7,0.03,1.0,int,8.0,101,-13.072330798653176,0.05819553790632188,0.9999946135703157,66.92819638796799,79.91426434384238,0.05835074830978995,70.9239096051601,81.91212095243843,True,0.05835074830978995,abi/ym_k1_a2.700_circ_az2seed_v0.0300_sp8.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0636622117727002,0.9165680343957523,0.08343196560424766
2.8,0.03,1.0,int,8.0,101,-13.090514643531456,0.058457157262512015,0.9999949000337559,66.92819638796799,79.91426434384238,0.05868259750583247,70.9239096051601,81.91212095243843,True,0.05868259750583247,t130/ym_k1_a2.800_circ_az2seed_v0.0300_sp8.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.063963253398354,0.9174423499124668,0.08255765008753324
1.3,0.03,2.0,int,22.0,101,-13.05346051435061,0.08441831656539439,0.9999749390670498,86.90676247392858,99.89283042980296,0.08426637690294378,87.90569077822661,99.89283042980296,True,0.08426637690294378,t140/ym_k2_a1.300_circ_az2seed_v0.0300_sp22.0_eps0.15_nkz0_nkz1to1_bp14_hd5e-05_recorr,0.0928448613953953,0.9076041003936812,0.09239589960631872
