kz,alpha,V0,eps,xi_sponge,gamma_chased
1.0,1.8,0.01,0.15,22.0,0.03601831120441712
1.0,1.9,0.03,0.15,8.0,0.059919312569355024
1.0,2.0,0.01,0.15,22.0,0.036784517910605316
1.0,2.5,0.03,0.15,8.0,0.06295815519739313
1.0,3.0,0.02,0.15,13.0,0.056283280171717895
2.0,2.1,0.03,0.15,10.0,0.09461671141438546
2.0,2.9,0.03,0.15,8.0,0.09704728743242898
3.0,2.0,0.02,0.15,9.0,0.07900942637871683
3.0,2.1,0.03,0.15,8.0,0.10338106320903336
3.0,2.5,0.03,0.15,18.0,0.12014422311172585
4.0,2.8,0.03,0.15,8.0,0.12109030579915381
5.0,2.6,0.03,0.15,8.0,0.12174416234229396
6.0,2.3,0.03,0.15,8.0,0.11683769702710696
7.0,2.6,0.03,0.15,8.0,0.12136677537563294
7.0,2.7,0.03,0.15,8.0,0.12321489585942803
1.0,1.0,0.03,0.15,14.0,0.0621279350155592
1.0,1.6,0.01,0.15,22.0,0.03514591979701366
1.0,2.1,0.01,0.15,22.0,0.03713297493723362
1.0,2.4,0.01,0.15,18.0,0.037004002449603814
1.0,2.8,0.01,0.15,14.0,0.036128393753413916
1.0,3.0,0.01,0.15,14.0,0.03662509639158568
2.0,1.3,0.03,0.15,22.0,0.09284486139539537
2.0,2.0,0.03,0.15,14.0,0.09900131630743775
2.0,2.2,0.03,0.15,10.0,0.09573302128988187
2.0,2.7,0.01,0.15,22.0,0.05152094826330317
2.0,2.9,0.01,0.15,22.0,0.052379831841539326
3.0,1.8,0.03,0.15,8.0,0.09857921360803679
5.5,1.9,0.01,0.15,8.0,0.05344983294114892
5.5,1.9,0.03,0.15,8.0,0.10880876687380245
5.5,2.0,0.03,0.15,8.0,0.11095888779210872
5.5,2.0,0.1,0.15,8.0,0.23366658454219147
6.5,0.9,0.2,0.15,8.0,0.22509790689046016
6.5,1.0,0.1,0.15,8.0,0.16122967437302863
6.5,1.3,0.03,0.15,8.0,0.09198337973496033
6.5,1.3,0.1,0.15,8.0,0.18341316548307443
5.5,1.7,0.03,0.15,8.0,0.10423829386782787
5.5,1.7,0.2,0.15,8.0,0.33350828126458454
5.5,1.8,0.05,0.15,8.0,0.1461023504543723
5.5,1.8,0.2,0.15,8.0,0.3435093285710049
5.5,2.6,0.03,0.15,8.0,0.12236587422874787
5.5,2.7,0.1,0.15,8.0,0.26672559385880834
6.5,0.5,0.2,0.15,8.0,0.16531871036537674
6.5,0.8,0.2,0.15,8.0,0.211451644888211
5.5,2.1,0.05,0.15,8.0,0.15562012629547203
5.5,2.1,0.2,0.15,8.0,0.3712631316503586
5.5,2.3,0.05,0.15,8.0,0.16141991851401957
5.5,2.4,0.05,0.15,8.0,0.16417828433594014
5.5,1.5,0.05,0.15,8.0,0.13536658832539905
5.5,1.6,0.03,0.15,8.0,0.1018005419015302
5.5,1.6,0.1,0.15,8.0,0.2109344242879302
5.5,1.6,0.2,0.15,8.0,0.3231302398886727
5.5,1.1,0.03,0.15,8.0,0.08758233999732452
5.5,1.2,0.05,0.15,8.0,0.12301589403342264
5.5,1.4,0.05,0.15,8.0,0.13145458787928924
5.5,1.5,0.03,0.15,8.0,0.09924715128033126
5.5,0.4,0.2,0.15,8.0,0.1563882078695457
5.5,0.6,0.1,0.15,8.0,0.13189545006489162
5.5,0.6,0.2,0.15,8.0,0.19285583979402993
5.5,0.8,0.2,0.15,8.0,0.22413409376975701
6.5,2.2,0.1,0.15,8.0,0.2365939829410285
6.5,2.2,0.2,0.15,8.0,0.3659159380867106
6.5,2.3,0.03,0.15,8.0,0.11632056795448448
6.5,2.3,0.05,0.15,8.0,0.15887191267009848
6.5,1.3,0.2,0.15,8.0,0.2743682902138367
6.5,1.4,0.2,0.15,8.0,0.2856759057069371
6.5,1.6,0.03,0.15,8.0,0.10037346101272866
6.5,1.6,0.1,0.15,8.0,0.2029658890468485
6.5,2.4,0.05,0.15,8.0,0.16177168035400508
6.5,2.7,0.01,0.15,8.0,0.061076648567234014
6.5,2.9,0.03,0.15,8.0,0.12734560567298822
6.5,3.0,0.03,0.15,8.0,0.12901132915798397
6.5,3.0,0.1,0.15,8.0,0.2735275706031782
6.5,3.0,0.2,0.15,8.0,0.4294023934853458
7.5,0.8,0.1,0.15,8.0,0.13741511547446653
7.5,0.8,0.2,0.15,8.0,0.1999625754245855
6.5,2.0,0.1,0.15,8.0,0.22606051997710044
6.5,2.1,0.03,0.15,8.0,0.1121707768852768
6.5,2.1,0.1,0.15,8.0,0.23140280304748756
6.5,2.1,0.2,0.15,8.0,0.3567819050687583
7.5,0.9,0.1,0.15,8.0,0.14576346207119426
7.5,1.0,0.2,0.15,8.0,0.22526483542424358
7.5,1.1,0.05,0.15,9.0,0.11175920604027506
7.5,1.4,0.05,0.15,8.0,0.12344780278517725
6.5,1.7,0.1,0.15,8.0,0.20902379640101196
6.5,1.9,0.1,0.15,8.0,0.22055751563182321
6.5,1.9,0.2,0.15,8.0,0.33776910111247166
6.5,2.0,0.03,0.15,8.0,0.1099868866837056
7.5,1.4,0.2,0.15,8.0,0.2706004707978099
7.5,1.5,0.05,0.15,7.0,0.12511190949008907
7.5,1.5,0.1,0.15,8.0,0.1882064162890021
7.5,1.7,0.05,0.15,8.0,0.13502305205575685
7.5,2.5,0.05,0.15,8.0,0.16069156138157
7.5,2.6,0.01,0.15,8.0,0.060641451818949636
7.5,2.7,0.01,0.15,8.0,0.06146157163218574
7.5,2.8,0.03,0.15,8.0,0.12411126969262548
7.5,2.3,0.03,0.15,8.0,0.11442796442972716
7.5,2.3,0.05,0.15,8.0,0.15483558310058101
7.5,2.4,0.03,0.15,8.0,0.11647612495740593
7.5,2.5,0.03,0.15,8.0,0.11846504863601912
7.5,1.8,0.1,0.15,8.0,0.20612698512355632
7.5,1.9,0.05,0.15,8.0,0.14205636370699562
7.5,1.9,0.1,0.15,8.0,0.21175077548433632
7.5,2.1,0.2,0.15,8.0,0.3398563152476789
1.0,0.3,0.05,0.15,14.0,0.06541232823776909
0.5,0.3,0.05,0.15,8.0,0.03557811780593957
1.0,0.4,0.01,0.15,14.0,0.022465585918150417
0.5,0.5,0.05,0.15,10.0,0.0446406995668221
1.0,0.5,0.05,0.15,8.0,0.060983958549212104
0.5,0.6,0.01,0.15,22.0,0.01980869238037693
0.5,0.6,0.05,0.15,8.0,0.042457314267290776
0.5,0.6,0.1,0.15,14.0,0.045334308954472394
0.5,0.6,0.2,0.15,13.0,0.5096822093727591
0.5,0.7,0.01,0.15,22.0,0.02048482104103555
0.5,0.7,0.05,0.15,9.0,0.04563591959964521
0.5,0.8,0.03,0.15,8.0,0.03150358864819086
0.5,0.9,0.03,0.15,8.0,0.03231516902204019
1.0,0.9,0.2,0.15,8.0,0.13508163239184798
0.5,1.1,0.2,0.15,10.0,0.19585633678071526
0.5,1.3,0.1,0.15,12.0,0.12711707880557696
0.5,1.7,0.03,0.15,8.0,0.03540244195436807
0.5,1.8,0.05,0.15,6.0,0.043296372399500446
1.0,1.8,0.1,0.15,8.0,0.0999706582174777
0.5,1.9,0.1,0.15,10.0,0.20926597766080035
1.0,2.1,0.1,0.15,8.0,0.074192047967398
1.0,2.3,0.1,0.15,8.0,0.09619778006233388
1.0,2.4,0.2,0.15,8.0,0.23333890260716697
0.5,2.5,0.03,0.15,6.0,0.033473383701014325
0.5,2.0,0.03,0.15,8.0,0.035384095604352225
0.5,2.0,0.1,0.15,10.0,0.7134926277173124
0.5,2.1,0.01,0.15,8.0,0.01771141759610534
0.5,2.1,0.03,0.15,8.0,0.035249359885381096
1.0,2.5,0.1,0.15,8.0,0.14187480970305288
1.0,2.7,0.2,0.15,8.0,0.2535129147054596
0.5,2.7,0.2,0.15,8.0,0.3022501802220372
0.5,2.8,0.05,0.15,5.0,0.03838214077966408
2.0,0.7,0.03,0.15,14.0,0.07452521023959191
2.0,0.7,0.2,0.15,8.0,0.22574246901461548
2.0,0.9,0.2,0.15,8.0,0.24466663684437356
2.0,1.0,0.2,0.15,8.0,0.25122200138409456
0.5,3.0,0.03,0.15,6.0,0.033060657531992194
2.0,0.4,0.03,0.15,14.0,0.06260456598132533
2.0,0.5,0.03,0.15,14.0,0.06722101336550189
2.0,0.6,0.05,0.15,13.0,0.09925858922349123
2.0,1.1,0.2,0.15,8.0,0.2559453818722708
2.0,1.3,0.01,0.15,22.0,0.043007426222765655
2.0,1.4,0.01,0.15,22.0,0.04383791643431466
2.0,1.4,0.1,0.15,8.0,0.1797924121019401
2.0,1.6,0.2,0.15,8.0,0.250041992910352
2.0,1.8,0.01,0.15,22.0,0.0467169745297278
2.0,2.0,0.01,0.15,22.0,0.0479495650238521
2.0,2.3,0.1,0.15,8.0,0.19725039517998438
3.0,0.6,0.05,0.15,10.0,0.09944613173993722
3.0,0.6,0.1,0.15,8.0,0.1437069773354467
1.5,0.7,0.03,0.15,8.0,0.05745987903033334
3.0,0.9,0.05,0.15,9.0,0.11288888771255082
0.5,2.8,0.1,0.15,9.0,1.006071940108846
0.5,2.9,0.01,0.15,8.0,0.018868658418028997
1.0,2.9,0.1,0.15,8.0,0.4520376005284345
0.5,2.9,0.1,0.15,8.0,0.24190651119630585
0.5,1.4,0.03,0.15,8.0,0.03483099760444487
0.5,1.5,0.2,0.15,8.0,0.869220647244483
