alpha,V0,EPS,xi_w,window_type,window_safe,ceiling,P,kz_peak,gamma_peak,kz_hat,gamma_hat
0.3,0.03,0.45,8.0,xi_sponge,True,0.06463304070095652,0.14362897933545893,2.276253911516674,0.06413243719565576,1.0565434738163202,0.9922546811990952
0.3,0.05,0.1,8.0,xi_sponge,True,0.090856029641607,0.90856029641607,2.4245467269228205,0.07879510117577461,1.3342794839741234,0.867252305505664
0.3,0.05,0.15,8.0,xi_sponge,True,0.090856029641607,0.60570686427738,2.2833423940057544,0.08281592943010381,1.2565717448873155,0.9115072467593139
0.3,0.05,0.225,8.0,xi_sponge,True,0.090856029641607,0.40380457618491994,2.1703789276721013,0.08576393424477853,1.1944055536178686,0.9439542381841374
0.3,0.05,0.3,8.0,xi_sponge,True,0.090856029641607,0.30285343213869,2.339824127172581,0.08870222252112427,1.2876548405220387,0.976294285266716
0.3,0.05,0.45,8.0,xi_sponge,True,0.090856029641607,0.20190228809245997,2.000933728171622,0.089943005987514,1.101156266713699,0.9899508743922166
0.3,0.1,0.1,5.0,xi_cut,True,0.14422495703074087,1.4422495703074085,2.175981609783816,0.10637009751370564,1.5087413819232522,0.7375290636490421
0.3,0.1,0.15,5.0,xi_cut,True,0.14422495703074087,0.9614997135382725,2.0458477172308553,0.11593150344216,1.418511580346523,0.8038241496404103
0.3,0.1,0.225,5.0,xi_cut,True,0.14422495703074087,0.640999809025515,1.941740603188487,0.12398454330432573,1.3463277390851396,0.8596608094526873
0.3,0.1,0.3,5.0,xi_cut,True,0.14422495703074087,0.48074985676913623,1.8636602676567107,0.1286808217338957,1.292189858139102,0.8922229854190075
0.3,0.1,0.45,5.0,xi_cut,True,0.14422495703074087,0.3204999045127575,1.7595531536143423,0.13388258165186612,1.2200060168777185,0.9282899742749078
0.4,0.03,0.1,8.0,xi_sponge,True,0.07113786608980127,0.7113786608980127,3.022041782465631,0.06379602765872865,1.274444377619118,0.89679422739776
0.4,0.03,0.15,8.0,xi_sponge,True,0.07113786608980127,0.47425244059867516,2.85301484451041,0.0663963267333562,1.2031629572254354,0.9333471803826733
0.4,0.03,0.225,8.0,xi_sponge,True,0.07113786608980127,0.3161682937324501,3.022041782465631,0.0693951508026446,1.274444377619118,0.9755022833415226
0.4,0.03,0.3,8.0,xi_sponge,True,0.07113786608980127,0.23712622029933758,2.5825717437820557,0.07023281453371548,1.0891126845955428,0.9872774992302511
0.4,0.03,0.45,8.0,xi_sponge,True,0.07113786608980127,0.15808414686622504,2.481155581008923,0.07066949015911102,1.046343832359333,0.9934159406735789
0.4,0.05,0.1,8.0,xi_sponge,True,0.10000000000000002,1.0000000000000002,2.622461045793133,0.08793154734588389,1.3112305228965666,0.8793154734588388
0.4,0.05,0.15,8.0,xi_sponge,True,0.10000000000000002,0.6666666666666669,2.4723052834011625,0.09206046658277682,1.2361526417005813,0.920604665827768
0.4,0.05,0.225,8.0,xi_sponge,True,0.10000000000000002,0.44444444444444453,2.3521806734875863,0.09503674362849845,1.1760903367437932,0.9503674362849843
0.4,0.05,0.3,8.0,xi_sponge,True,0.10000000000000002,0.3333333333333334,2.2020249110956156,0.0983838252053997,1.1010124555478078,0.9838382520539969
0.4,0.05,0.45,8.0,xi_sponge,True,0.10000000000000002,0.22222222222222227,2.1419626061388275,0.09915649432979425,1.0709813030694137,0.9915649432979423
0.4,0.1,0.1,5.0,xi_cut,True,0.15874010519681997,1.5874010519681996,2.3687955731996984,0.11983037382821032,1.4922477027860461,0.7548840520146693
0.4,0.1,0.15,5.0,xi_cut,True,0.15874010519681997,1.0582673679788,2.2363708498747172,0.1299865854723321,1.4088253545642218,0.8188641762027515
0.4,0.1,0.225,5.0,xi_cut,True,0.15874010519681997,0.7055115786525332,2.1304310712147325,0.13840522910452538,1.3420874759867627,0.8718983078215702
0.4,0.1,0.3,5.0,xi_cut,True,0.15874010519681997,0.5291336839894,2.0509762372197438,0.14324909250937704,1.292034067053668,0.9024127351545105
0.4,0.1,0.45,5.0,xi_cut,True,0.15874010519681997,0.3527557893262666,1.9450364585597586,0.14854475403677406,1.2252961884762086,0.9357733123119402
